,Name,Location,Area,JobId,JobType,Link,Department,PrivateAdvertiser,Featured,Datetime,Class,Subclass,Remark
0,Administrator,Bay of Plenty,Tauranga,50582301,promoted,https://www.seek.co.nz/job/50582301?type=promoted#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,,1,1,,administration & office support,office management,
1,Receptionist,Bay of Plenty,Tauranga,50620889,promoted,https://www.seek.co.nz/job/50620889?type=promoted#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,Avenues Orthodontics,0,1,,administration & office support,receptionists,
2,Prosecutions Support Officer,Auckland,,50622169,standard,https://www.seek.co.nz/job/50622169?type=standard#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,New Zealand Police,0,0,2022-12-20 16:59,administration & office support,other,
3,Early Childhood Centre Administrator,Southland,Invercargill,50639620,standard,https://www.seek.co.nz/job/50639620?type=standard#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,Kew Pacific Island Early Learning Centre,0,0,2022-12-24 15:59,administration & office support,administrative assistants,
4,Business Support Administrator,Canterbury,Christchurch,50622432,standout,https://www.seek.co.nz/job/50622432?type=standout#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,,1,0,2022-12-20 16:59,administration & office support,client & sales administration,
5,Support Officer,Northland,Whangarei,50640393,standout,https://www.seek.co.nz/job/50640393?type=standout#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,Ministry for Primary Industries,0,0,2022-12-24 16:50,administration & office support,administrative assistants,
6,Support Officer,Wellington,Wellington Central,50615674,standout,https://www.seek.co.nz/job/50615674?type=standout#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,"Ministry of Business, Innovation and Employment",0,0,2022-12-19 16:59,administration & office support,other,
7,Office Administrator,Bay of Plenty,Rotorua,50640166,standard,https://www.seek.co.nz/job/50640166?type=standard#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,Hepburn Electrical Ltd,0,0,2022-12-24 16:52,administration & office support,administrative assistants,
8,Office Administrator,Bay of Plenty,Tauranga,50639248,standard,https://www.seek.co.nz/job/50639248?type=standard#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,Webster Holland Ltd,0,0,2022-12-24 14:59,administration & office support,administrative assistants,
9,Administration Officer,Canterbury,,50629393,standard,https://www.seek.co.nz/job/50629393?type=standard#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,New Zealand Police,0,0,2022-12-21 16:59,administration & office support,other,
10,Administration Officer,West Coast,Rest of West Coast,50600186,standout,https://www.seek.co.nz/job/50600186?type=standout#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,Department of Conservation,0,0,2022-12-17 16:59,administration & office support,administrative assistants,
11,Data Entry,Tasman,Nelson,50616188,standard,https://www.seek.co.nz/job/50616188?type=standard#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,Triple One Care,0,0,2022-12-19 16:59,administration & office support,data entry & word processing,
12,Office Admin Assistant (10Hrs Per Week),Auckland,"Manukau & East AucklandManukau & East Auckland,$20 per hour",50597141,standard,https://www.seek.co.nz/job/50597141?type=standard#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,UIV Limited - Premier Insulation North Central,0,0,2022-12-16 16:59,nan,nan,$20 per hour
13,Office Administrator,Wellington,Wellington Central,50632818,standard,https://www.seek.co.nz/job/50632818?type=standard#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,Wraight and Associates Ltd.,0,0,2022-12-21 16:59,administration & office support,office management,
